name,modelNumber,manufacturer,vendor,description,category,unit,tier,collection,color,finish,price,productUrl,imageUrl,sourceType,sourceWorkbook,sourceSheet,sourceRow,confidence,dropReason
36984,11095.199999999999,,,,Contract Cost,ea,,,,,25888.80,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,48,low,low-confidence
,17493.885,,,,,ea,,,,,40819.07,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,51,low,low-confidence
,192.435,,,,Over Allowances,ea,,,,,449.02,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,50,low,low-confidence
Master Bath Finishes & Trim,41618-CZ,,,,,ea,,,,,173.66,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,239 | 226,high,name-finance-rollup
Master Bath Finishes & Trim,41624-CZ,,,,,ea,,,,,188.14,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,240 | 227,high,name-finance-rollup
Master Bath Finishes & Trim,41642-CZ,,,,,ea,,,,,289.29,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,241 | 228,high,name-finance-rollup
,6206.25,,,,Additional Work,ea,,,,,14481.25,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,49,low,low-confidence
Master Bath Finishes & Trim,73835-CZ,,,,,ea,,,,,155.80,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,242 | 229,high,name-finance-rollup
Master Bath Finishes & Trim,73850-CZ,,,,,ea,,,,,72.89,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,243 | 230,high,name-finance-rollup
Hall Bath Finishes & Trim,74536-CZ,,,,,ea,,,,,100.06,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,257 | 244,high,name-finance-rollup
Hall Bath Finishes & Trim,75150-CZ,,,,,ea,,,,,83.42,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,256 | 243,high,name-finance-rollup
Mirror,ANDYSTAR24X32OVALBRUSHEDNICKEL,,Amazon,Andy Star 24x32 Oval Brushed Nickel,Powder Room,ea,,,,,205.66,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,18,medium,generic-name
Chandelier,BALLSTONROCHESTER5-LIGHTGOLD,,Idlewood,Ballston Rochester 5-Light Gold,Foyer,ea,,,,,672.92,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,14 | 15,medium,generic-name
Panasonic 100 CFM Sone Ceiling Mounted HVI Certified Exhaust Fan,BLMC2432,,,Panasonic 100 CFM 0.9 Sone Ceiling Mounted HVI Certified Exhaust Fan,,ea,,,,,92.00,,,baseline,,Frequent Material Model Price,5,low,low-confidence
Range Hood,BROANGLA1303SS,,Amazon,Broan GLA1303SS,Kitchen,ea,,,,,242.48,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,12,medium,generic-name
Hall Bathroom Plumbing,CD-K030PRO,,,,,ea,,,,,8500.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,244 | 231,high,name-finance-rollup
Master Bathroom Plumbing,CD-K030PRO,,,,,ea,,,,,2000.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,218 | 205,high,name-finance-rollup
Add On Toilet Toto Toilet Add-On TCST,CST642CEFGAT4001,,,**Add On Toilet Toto Toilet Add-On TCST642CEFGAT4001 1432.5629999999999 Ferguson,,ea,,,,,1432.56,https://www.fergusonhome.com/toto-mw6424736cefga/s1931975?uid=4565624,,derived,compiled_products_db.xlsx,Sheet1,219,high,desc-finance-rollup
,DR10000UNWSHF,,,,,ea,,,,,,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,221 | 208,high,insufficient-identity-signal
Cabinet Handles,"ELARA3""PULL/BACKPLATEOPTIONS",,Hardware Resources,"Elara 3"" Pull / Backplate Options",Kitchen (on hold till after cleaning),ea,,,,,,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,6,medium,insufficient-identity-signal
Panasonic 100 CFM Sone Ceiling Mounted LED Lighted Exhaust Fan with Smart Flow Technology,FV-0510VSL1,,,Panasonic 100 CFM 0.5 Sone Ceiling Mounted LED Lighted Exhaust Fan with Smart Flow Technology,,ea,,,,,155.25,,,baseline,,Frequent Material Model Price,7,low,low-confidence
Quartz Countertop,GALACTICHALOQUARTZ-SQUAREEDGE,,Pacific Surfaces,Galactic Halo Quartz - Square Edge,Kitchen,ea,,,,,7095.00,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,7,medium,insufficient-identity-signal
Quartz Top,GALACTICHALOQUARTZSQUAREEDGE,,Pacific Surfaces,Galactic Halo Quartz Square Edge,Powder Room,ea,,,,,,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,21,medium,insufficient-identity-signal
Hall Bath Finishes & Trim,K-20000,,,,,ea,,,,,139.98,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,254 | 241,high,name-finance-rollup
Master Bath Finishes & Trim,K-20000,,,,,ea,,,,,139.98,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,237 | 224,high,name-finance-rollup
Sink,K-20000,,,,,ea,,,,,350.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,832 | 863 | 801,high,insufficient-identity-signal
Plumbing Fixtures,K-200000,,,,,ea,,,,,,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,906 | 909 | 938 | 941 | 866,high,name-finance-rollup
Plumbing Fixtures -0,K-200000,,Ferguson,,,ea,,,,,0.00,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,302 | 240 | 1362 | 1396 | 1399,high,name-finance-rollup
Faucet,K-22020,,,,,ea,,,,,400.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,833 | 802,high,generic-name
Sink,K-2209,,,,,ea,,,,,300.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,593 | 565,high,insufficient-identity-signal
Mirror,K-26050,,,,,ea,,,,,400.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,598 | 570,high,generic-name
4,K-27390,,Ferguson,4-CP,,ea,,,,,0.00,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,301 | 239 | 1360 | 1363 | 1384 | 1397 | 1400,high,name-numeric-only
Faucet,K-27415,,,,,ea,,,,,400.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,864 | 826,high,generic-name
Toilet,K-30810,,,,,ea,,,,,300.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,595 | 846 | 567,high,generic-name
Hall Bathroom Plumbing Smart Toilet Casa Diva Home CD- .79 .42 Casa Diva Home,K030PRO,,,Hall Bathroom Plumbing Smart Toilet Casa Diva Home CD- 8500 1221.79 1217.42 Casa Diva Home,Plumbing,ea,,,,,0.00,,,derived,normalized_products_db.xlsx,Sheet1,542,high,name-finance-rollup
Master Bathroom Plumbing Smart Toilet Casa Diva Home CD- .42 Casa Diva Home,K030PRO,,,Master Bathroom Plumbing Smart Toilet Casa Diva Home CD- 2000 1221.79 1217.42 Casa Diva Home,Plumbing,ea,,,,,1221.79,,,derived,compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,89 | 76,high,name-finance-rollup
Sink,KOHLERCAXTONK-20000-0,,Ferguson,Kohler Caxton K-20000-0,Powder Room,ea,,,,,119.79,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,20,medium,insufficient-identity-signal
Faucet,KOHLERTEMPEREDK-22022-4-BN,,Ferguson,Kohler Tempered K-22022-4-BN,Powder Room,ea,,,,,333.28,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,19,medium,generic-name
,M6802BN,,,,,ea,,,,,209.36,https://www.amazon.com/gp/product/B01H1SOC02/ref=ox_sc_act_title_1?smid=ATVPDKIKX0DER&th=1,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,563 | 536,high,insufficient-identity-signal
Electrical,MOVETABLEFIXTUREANDBOX,,Service Plus,Move table fixture and box,Kitchen,box,,,,,,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,11,medium,insufficient-identity-signal
3 PC,MS776124CSFG,,Ferguson,,,ea,,,,,1420.68,https://www.fergusonhome.com/toto-ms776124csfg/s1797886?uid=4250648,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,216 | 135 | 172,high,insufficient-identity-signal
Vanity,NORTHPOINTMAUISLATE,,Hardware Resources S/B 790.50,NorthPoint Maui Slate,Powder Room,ea,,,,,626.08,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,22,medium,insufficient-identity-signal
Vanity Light,"REGENCYHILLMENCINO28""",,Lamps Plus,"Regency Hill Mencino 28""",Powder Room,ea,,,,,223.87,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,17,medium,insufficient-identity-signal
Sink,RVH8310,,,,,ea,,,,,1250.00,,,derived,Product_Master_Audit_Pass.xlsx,Product_Occurrences | Product_Master,800 | 769,high,insufficient-identity-signal
Sink,RVM4350,,Ferguson,,Sink,ea,,,,,307.20,https://www.fergusonhome.com/ruvati-rvm4350/s1437586?uid=3385574,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,234 | 127 | 184,high,insufficient-identity-signal
Cabinet Pulls,SATINNICKELPULLSIVAN128(3),,Hardware Resources,Satin Nickel Pulls Ivan 128 (3),Powder Room,ea,,,,,38.07,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,23,medium,insufficient-identity-signal
Aluminum Carpet Trim - Satin Brass/Pewter/Silver,TBD,,Home Depot,,Flooring,ea,,,,,14.91,,,baseline,,"Mrozek, Dan 40214-THC",7,medium,insufficient-identity-signal
,TOTALADDITIONALWORK,,,Total Additional Work,,ea,,,,,,,,baseline,,Gapinske Jane 40097-LNC  6.19.2,44,low,low-confidence
2 PCS,V4N1H,,Home Depot,,,ea,,,,,82.23,https://www.homedepot.com/p/PERFORMANCE-ACCESSORIES-Navarra-0-31-in-T-x-2-in-W-x-78-7-in-L-Vinyl-4-in-1-Molding-V4N1H-08165/339181319,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,264 | 132 | 212,high,insufficient-identity-signal
2 PCS,VSNP-08165,,,,,ea,,,,,65.47,https://www.homedepot.com/p/PERFORMANCE-ACCESSORIES-Navarra-1-32-in-Thick-x-1-88-in-Wide-x-78-7-in-Length-Vinyl-Stair-Nose-Molding-VSNP-08165/334696524,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx,Product Library | Raw Records | Product Master | Raw Extract,266 | 133 | 214,high,insufficient-identity-signal
Paint,VY73,,,Paint: 967 JC Licht,,ea,,,,,0.00,https://www.benjaminmoore.com/en-us/paint-colors/color/967/cloud-white?_gl=1*1fntc06*_up*MQ..*_gs*MQ..&gclid=Cj0KCQjw8PDPBhCeARIsAOJwmWWvKZUnWST3sgUgGlvSRxEPjUqFFsIhr6VY73qVCmsK-_poTbcEp9MaAkD_EALw_wcB&gclsrc=aw.ds&gbraid=0AAAAADPqh08Vr-bZfbgfC-6InF-XVI6_k,,derived,compiled_products_db.xlsx,Sheet1,106,high,insufficient-identity-signal
Aura Bath & Spa Paint,AURABATH&SPA,Benjamin Moore,JC Licht,,Hall Bathroom Paint,ea,,,,,,,,baseline,,John Daye 39938-CJC,58,high,insufficient-identity-signal
Aura Bath & Spa Paint,AURABATH&SPA:CHANITYLACEOC-65CEILING,Benjamin Moore,JC Licht,,Master Bathroom Paint,ea,,,,,,,,baseline,,John Daye 39938-CJC,24,high,insufficient-identity-signal
Aura Bath & Spa Paint,AURABATH&SPA:ETIQUETTEWALLS,Benjamin Moore,JC Licht,,Master Bathroom Paint,ea,,,,,,,,baseline,,John Daye 39938-CJC,23,high,insufficient-identity-signal
Quartz,TROPICALBLUE,CACJR Granite,CACJR Granite REQ Quote 5/23 & 6/9,,Master Bath Finishes & Trim,ea,,,,,976.00,,,baseline,,John Daye 39938-CJC,42,high,insufficient-identity-signal
Grab Bar 18,41624-18,Delta,Ferguson Home,,Hall Bath Finishes & Trim,ea,,,,,173.66,,,baseline,,John Daye 39938-CJC,69,high,insufficient-identity-signal
Walk-In Tub,MONACO,Ella Bubbles,Ella Bubbles,,Hall Bathroom Plumbing,ea,,,,,9106.38,,,baseline,,John Daye 39938-CJC,53,high,insufficient-identity-signal
Master Mirror,CUSTOMMIRROR,GLASS for Mirror,Precision Glass,,Master Bath Finishes & Trim,ea,,,,,,,,baseline,,John Daye 39938-CJC,39 | 65,high,insufficient-identity-signal
Custom Shower Door,,Handles ?,Precision Glass with Mirrors,,Master bathroom Shower Door,ea,,,,,,,,baseline,,John Daye 39938-CJC,35,low,low-confidence
Sink,K-2211,Kohler,,,Sink,ea,,,,,113.89,https://www.kohler.com/en/products/bathroom-sinks/shop-bathroom-sinks/caxton-21-1-4-oval-undermount-bathroom-sink-2211-2211?skuId=2211-0,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,134 | 121 | 95 | 215 | 199 | 118 | 94,high,insufficient-identity-signal
0,K-8644,Kohler,Home Depot,Shower Base 36x34 -0 525.283125,Plumbing,ea,,,white,white,525.28,https://www.homedepot.com/p/KOHLER-Rely-36-in-L-x-34-in-W-Alcove-Shower-Pan-Base-with-Center-Drain-in-White-K-8644-0/315752376,,derived,Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Master | Raw Extract | Sheet1,123 | 258 | 233 | 164,high,name-numeric-only
BN,K-9132,Kohler,Ferguson,Shower Drain -BN 127.52300000000001 `,Plumbing,ea,,,,,127.52,https://www.fergusonhome.com/kohler-k-9132/s567087?uid=176032,,derived,Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Master | Raw Extract | Sheet1,124 | 259 | 234 | 165,high,insufficient-identity-signal
Sink,K2209,Kohler,Ferguson,,Sink,ea,,,,,99.01,https://www.fergusonhome.com/kohler-k-2209/s560373?uid=220794,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,185 | 174 | 140 | 233 | 273 | 163 | 126,high,insufficient-identity-signal
Valve,K8304,Kohler,Ferguson,,Shower Valve,ea,,,,,126.02,https://www.fergusonhome.com/kohler-k-8304-ks/s1251522?uid=2992369,,derived,Product_Master_Enhanced.xlsx | Product_Master_Refined.xlsx | Product_Master_Warehouse.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Library | Raw Records | Product Master | Raw Extract | Product Occurrences | Sheet1,193 | 170 | 148 | 241 | 269 | 159 | 122,high,insufficient-identity-signal
T-Strip,NOMACH,LifeProof,Home Depot,,Master Bathroom LVP,ea,,,,,41.79,,,baseline,,John Daye 39938-CJC,27,high,insufficient-identity-signal
,T2151BN,Moen,Ferguson,"Shower Trim , Brantford 109.351",Plumbing,ea,,,,,109.35,https://www.fergusonhome.com/moen-t2151/s720278?uid=1030356,,derived,Product_Master_Refined.xlsx | compiled_products_db.xlsx | normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Product Master | Raw Extract | Sheet1,197 | 256 | 232 | 163,high,insufficient-identity-signal
Quartz Top with side and back,MONTICRISTOGOLD,Monti Cristo Gold,CACJR Granite Req Quote 5/23 & 6/9,,Hall Bath Finishes & Trim,ea,,,,,1000.00,,,baseline,,John Daye 39938-CJC,67,high,insufficient-identity-signal
Master Vanity Pulls (8),SATINBRONZE,Naples 160mm,Hardware Resources,,Master Bath Finishes & Trim,ea,,,,,135.55,,,baseline,,John Daye 39938-CJC,40 | 66,high,insufficient-identity-signal
Shower & Bath Walls,AZZURRABAY,Sentrel Products,Sentrel Products,,Hall Bath Sentrel,ea,,,,,1600.00,,,baseline,,John Daye 39938-CJC,60,high,insufficient-identity-signal
"Shower Base - Low profile less 3""",BASELOWPROFILE,Sentrel Products,Sentrel Products,,Master Bathroom Shower Wall System,ea,,,,,,,,baseline,,John Daye 39938-CJC,31,high,insufficient-identity-signal
Shower Bath System,BOTTICINOCREAM,Sentrel Products,Sentrel Products,,Master Bathroom Shower Wall System,ea,,,,,2400.00,,,baseline,,John Daye 39938-CJC,30,high,insufficient-identity-signal
Corner Shelf,CORNERSHELF,Sentrel Products,Sentrel Products,,Master Bathroom Shower Wall System,ea,,,,,,,,baseline,,John Daye 39938-CJC,32,high,insufficient-identity-signal
Master Mirror,CUSTOMMIRROR,Shiloh,Shiloh,,Master Bath Finishes & Trim,ea,,,,,,,,baseline,,John Daye 39938-CJC,38 | 64,high,insufficient-identity-signal
Master Vanity,GREENSBORO-CABET,Shiloh,Shiloh,,Master Bath Finishes & Trim,ea,,,,,2964.11,,,baseline,,John Daye 39938-CJC,37,high,insufficient-identity-signal
Hall Vanity,GREENSBORO-YOSEMITEBROWN,Shiloh,Shiloh,,Hall Bath Finishes & Trim,ea,,,,,2993.86,,,baseline,,John Daye 39938-CJC,63,high,insufficient-identity-signal
Add On Toilet Toilet Add-On TCST,TCST642CEFGAT4001,Toto,Ferguson,**Add On Toilet Toilet Add-On 1432.5629999999999,Plumbing,ea,,,,,0.00,https://www.fergusonhome.com/toto-mw6424736cefga/s1931975?uid=4565624,,derived,normalized_products_db.xlsx | normalized_products_db_v2.xlsx | normalized_products_db_v2_cleaned_v3.xlsx,Sheet1,154,high,desc-finance-rollup
Vanity Fixture,BENNINGTON,Z-Lite,Idlewood Electric,,Master Bathroom Electrical,ea,,,,,516.68,,,baseline,,John Daye 39938-CJC,19 | 56,high,insufficient-identity-signal
